BLC_ID;BLC_NAME;NADSKUPINA_ID;NADSKUPINA_NAME;SPU_ID;SPU_NAME;PU_ID;PU_NAME;POL_ID;POL_NAME;PRG_ID;PRG_NAME;POD_ID;POD_NAME;Znesek
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;11;PREDSEDNIK REPUBLIKE SLOVENIJE;1111;Predsednik Republike Slovenije;1;POLITIČNI SISTEM;101;Politični sistem;10101;Dejavnost predsednika Republike Slovenije;2287640,89
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;11;PREDSEDNIK REPUBLIKE SLOVENIJE;1111;Predsednik Republike Slovenije;1;POLITIČNI SISTEM;101;Politični sistem;10102;Dejavnost bivšega predsednika Republike Slovenije;31200
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;121;DRŽAVNI ZBOR;1211;Državni zbor;1;POLITIČNI SISTEM;101;Politični sistem;10103;Dejavnost državnega zbora;23852298
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;122;DRŽAVNI SVET;1212;Državni svet;1;POLITIČNI SISTEM;101;Politični sistem;10104;Dejavnost državnega sveta;1855115
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;123;DRŽAVNA VOLILNA KOMISIJA;1213;Državna volilna komisija;1;POLITIČNI SISTEM;101;Politični sistem;10105;Izvedba in nadzor volitev in referendumov;4881498
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;124;VARUH ČLOVEKOVIH PRAVIC;1214;Varuh človekovih pravic;1;POLITIČNI SISTEM;102;Varstvo ustavnosti, nadzor pravne države in človekovih pravic;10203;Odprava in preprečevanje kršitev človekovih pravic;1898118
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;124;VARUH ČLOVEKOVIH PRAVIC;1214;Varuh človekovih pravic;1;POLITIČNI SISTEM;102;Varstvo ustavnosti, nadzor pravne države in človekovih pravic;10206;Izvajanje opcijskega sporazuma;127800
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;125;INFORMACIJSKI POOBLAŠČENEC;1215;Informacijski pooblaščenec;1;POLITIČNI SISTEM;102;Varstvo ustavnosti, nadzor pravne države in človekovih pravic;10205;Dostop do informacij javnega značaja in varstvo osebnih podatkov;1219743,72
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;127;NACIONALNA AGENCIJA RS ZA KAKOVOST V VISOKEM ŠOLSTVU;1217;Nacionalna agencija RS za kakovost v visokem šolstvu;19;IZOBRAŽEVANJE IN ŠPORT;1905;Višje in visokošolsko izobraževanje;190503;Spodbujanje kakovosti v visokem šolstvu;1655450,38
A;Bilanca odhodkov;1;NEVLADNI PRORAČUNSKI UPORABNIKI;131;USTAVNO SODIŠČE;1311;Ustavno sodišče;1;POLITIČNI SISTEM;102;Varstvo ustavnosti, nadzor pravne države in človekovih pravic;10202;Dejavnost ustavnega sodišča;3766196
