Sektor,"12,792,009,237",procent,min
SERVISIRANJE JAVNEGA DOLGA IN UPRAVLJANJE Z DENARNIMI SREDSTVI,"3,805,263,456",0.297,886.63
IZOBRAŽEVANJE IN ŠPORT,"1,700,369,008.75",0.133,886.63
POKOJNINSKO VARSTVO,"1,214,545,792",0.095,886.63
SOCIALNA VARNOST,"1,018,928,873",0.08,886.63
PROMET IN PROMETNA INFRASTRUKTURA,"758,548,262",0.059,886.63
PLAČILA V EVROPSKO UNIJO,"507,337,216",0.04,886.63
OBRAMBA IN ZAŠČITA,"462,425,400",0.036,886.63
"KMETIJSTVO, GOZDARSTVO, RIBIŠTVO IN PREHRANA","430,890,220.25",0.034,886.63
NOTRANJE ZADEVE IN VARNOST,"400,269,467.50",0.031,886.63
PODJETNIŠTVO IN KONKURENČNOST,"363,987,986.88",0.028,886.63
ZNANOST IN INFORMACIJSKA DRUŽBA,"320,821,865.56",0.025,886.63
TRG DELA IN DELOVNI POGOJI,"319,685,450",0.025,886.63
PRAVOSODJE,"307,180,132.56",0.024,886.63
VAROVANJE OKOLJA IN OKOLJSKA INFRASTRUKTURA,"244,152,577.13",0.019,886.63
EKONOMSKA IN JAVNOFINANČNA POLITIKA,"199,769,291.13",0.016,886.63
KULTURA IN CIVILNA DRUŽBA,"186,545,774.50",0.015,886.63
ZDRAVSTVENO VARSTVO,"161,022,182.75",0.013,886.63
SPLOŠNE JAVNE STORITVE IN SKUPNE ADMINISTRATIVNE SLUŽBE,"157,330,138.31",0.012,886.63
ZUNANJA POLITIKA IN MEDNARODNO RAZVOJNO SODELOVANJE,"124,925,823",0.01,886.63
LOKALNA SAMOUPRAVA,"108,010,320.02",0.008,886.63
